|name|printed|r|g|b|w|u
0|A-Alrund's Epiphany|2021-02-05|0|0|0|0|1
1|A-Cosmos Elixir|2021-02-05|0|0|0|0|0
2|A-Esika's Chariot|2021-02-05|0|1|0|0|0
3|A-Faceless Haven|2021-02-05|0|0|0|0|0
4|A-Goldspan Dragon|2021-02-05|1|0|0|0|0
5|A-Luminarch Aspirant|2020-09-25|0|0|0|1|0
6|A-Omnath, Locus of Creation|2020-09-25|1|1|0|1|1
7|A-Phylath, World Sculptor|2020-09-25|1|1|0|0|0
8|Abandon Hope|1997-10-14|0|0|1|0|0
9|Abandon Reason|2016-07-22|1|0|0|0|0
10|Abandon the Post|2022-01-28|1|0|0|0|0
11|Abandoned Outpost|2001-10-01|0|0|0|0|0
12|Abandoned Sarcophagus|2017-07-14|0|0|0|0|0
13|Abattoir Ghoul|2011-09-24|0|0|1|0|0
14|Abbey Gargoyles|1995-10-01|0|0|0|1|0
15|Abbey Griffin|2011-09-24|0|0|0|1|0
16|Abbey Matron|1995-10-01|0|0|0|1|0
17|Abbot of Keral Keep|2015-07-17|1|0|0|0|0
18|Abduction|1997-06-09|0|0|0|0|1
19|Abeyance|1997-06-09|0|0|0|1|0
20|Abhorrent Overlord|2013-09-21|0|0|1|0|0
21|Abiding Grace|2021-08-26|0|0|0|1|0
22|Abjure|1997-06-09|0|0|0|0|1
23|Abnormal Endurance|2018-07-13|0|0|1|0|0
24|Abolish|2000-06-05|0|0|0|1|0
25|Abominable Treefolk|2019-06-05|0|1|0|0|1
26|Abomination|1994-06-01|0|0|1|0|0
27|Abomination of Gudul|2014-09-26|0|1|1|0|1
28|Abomination of Llanowar|2020-11-20|0|1|1|0|0
29|Aboroth|1997-06-09|0|1|0|0|0
30|Aboshan's Desire|2001-10-01|0|0|0|0|1
31|Aboshan, Cephalid Emperor|2001-10-01|0|0|0|0|1
32|About Face|1999-02-15|1|0|0|0|0
33|Abrade|2017-07-14|1|0|0|0|0
34|Abrupt Decay|2012-10-05|0|1|1|0|0
35|Absolute Grace|1998-10-12|0|0|0|1|0
36|Absolute Law|1998-10-12|0|0|0|1|0
37|Absolver Thrull|2006-02-03|0|0|0|1|0
38|Absorb|2000-10-02|0|0|0|1|1
39|Absorb Energy|2021-12-09|0|0|0|0|1
40|Absorb Identity|2021-02-05|0|0|0|0|1
41|Absorb Vis|2009-02-06|0|0|1|0|0
42|Abstruse Interference|2016-01-22|0|0|0|0|0
