|name|printed|r|g|b|w|u|text
0|a-alrund's epiphany|2021-02-05|0|0|0|0|1|"take an extra turn after this one. if this spell was foretold, create two 1/1 blue bird creature tokens with flying. exile alrund's epiphany.
foretell {5}{u}{u}"
1|a-cosmos elixir|2021-02-05|0|0|0|0|0|at the beginning of your end step, draw a card if your life total is greater than your starting life total. otherwise, you gain 2 life and scry 1.
2|a-esika's chariot|2021-02-05|0|1|0|0|0|"when esika's chariot enters the battlefield, create a 2/2 green cat creature token.
whenever esika's chariot attacks, create a token that's a copy of target token you control.
crew 2"
3|a-faceless haven|2021-02-05|0|0|0|0|0|"{t}: add {c}.
{s}{s}{s}: faceless haven becomes a 3/3 creature with vigilance and all creature types until end of turn. it's still a land. ({s} can be paid with one mana from a snow source.)"
4|a-goldspan dragon|2021-02-05|1|0|0|0|0|"flying, haste
whenever a-goldspan dragon attacks, create a treasure token.
treasures you control have ""{t}, sacrifice this artifact: add two mana of any one color."""
5|a-luminarch aspirant|2020-09-25|0|0|0|1|0|at the beginning of your end step, put a +1/+1 counter on target creature you control.
6|a-omnath, locus of creation|2020-09-25|1|1|0|1|1|"when omnath, locus of creation enters the battlefield, scry 1.
landfall — whenever a land enters the battlefield under your control, you gain 4 life if this is the first time this ability has resolved this turn. if it's the second time, add {r}{g}{w}{u}. if it's the third time, omnath deals 4 damage to each opponent and each planeswalker you don't control."
7|a-phylath, world sculptor|2020-09-25|1|1|0|0|0|"trample
when phylath, world sculptor enters the battlefield, create a 0/1 green plant creature token for each basic land you control.
landfall — whenever a land enters the battlefield under your control, put four +1/+1 counters on target plant you control. it gains trample until end of turn."
8|abandon hope|1997-10-14|0|0|1|0|0|"as an additional cost to cast this spell, discard x cards.
look at target opponent's hand and choose x cards from it. that player discards those cards."
9|abandon reason|2016-07-22|1|0|0|0|0|"up to two target creatures each get +1/+0 and gain first strike until end of turn.
madness {1}{r} (if you discard this card, discard it into exile. when you do, cast it for its madness cost or put it into your graveyard.)"
10|abandon the post|2022-01-28|1|0|0|0|0|"up to two target creatures can't block this turn.
flashback {3}{r} (you may cast this card from your graveyard for its flashback cost. then exile it.)"
