|name|printed|r|g|b|w|u|text
0|A-Alrund's Epiphany|2021-02-05|0|0|0|0|1|"Take an extra turn after this one. If this spell was foretold, create two 1/1 blue Bird creature tokens with flying. Exile Alrund's Epiphany.
Foretell {5}{U}{U}"
1|A-Cosmos Elixir|2021-02-05|0|0|0|0|0|At the beginning of your end step, draw a card if your life total is greater than your starting life total. Otherwise, you gain 2 life and scry 1.
2|A-Esika's Chariot|2021-02-05|0|1|0|0|0|"When Esika's Chariot enters the battlefield, create a 2/2 green Cat creature token.
Whenever Esika's Chariot attacks, create a token that's a copy of target token you control.
Crew 2"
3|A-Faceless Haven|2021-02-05|0|0|0|0|0|"{T}: Add {C}.
{S}{S}{S}: Faceless Haven becomes a 3/3 creature with vigilance and all creature types until end of turn. It's still a land. ({S} can be paid with one mana from a snow source.)"
4|A-Goldspan Dragon|2021-02-05|1|0|0|0|0|"Flying, haste
Whenever A-Goldspan Dragon attacks, create a Treasure token.
Treasures you control have ""{T}, Sacrifice this artifact: Add two mana of any one color."""
5|A-Luminarch Aspirant|2020-09-25|0|0|0|1|0|At the beginning of your end step, put a +1/+1 counter on target creature you control.
6|A-Omnath, Locus of Creation|2020-09-25|1|1|0|1|1|"When Omnath, Locus of Creation enters the battlefield, scry 1.
Landfall — Whenever a land enters the battlefield under your control, you gain 4 life if this is the first time this ability has resolved this turn. If it's the second time, add {R}{G}{W}{U}. If it's the third time, Omnath deals 4 damage to each opponent and each planeswalker you don't control."
7|A-Phylath, World Sculptor|2020-09-25|1|1|0|0|0|"Trample
When Phylath, World Sculptor enters the battlefield, create a 0/1 green Plant creature token for each basic land you control.
Landfall — Whenever a land enters the battlefield under your control, put four +1/+1 counters on target Plant you control. It gains trample until end of turn."
8|Abandon Hope|1997-10-14|0|0|1|0|0|"As an additional cost to cast this spell, discard X cards.
Look at target opponent's hand and choose X cards from it. That player discards those cards."
9|Abandon Reason|2016-07-22|1|0|0|0|0|"Up to two target creatures each get +1/+0 and gain first strike until end of turn.
Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
